Prior input/output:
( 0.100401606426 , 0.00713016988842 )
( 0.104417670683 , 0.0058468302436 )
( 0.10843373494 , 0.00479096670626 )
( 0.112449799197 , 0.00392363743847 )
( 0.116465863454 , 0.00321217878189 )
( 0.120481927711 , 0.00262929139619 )
( 0.124497991968 , 0.00215223564066 )
( 0.128514056225 , 0.00176212889789 )
( 0.132530120482 , 0.00144333648791 )
( 0.136546184739 , 0.00118294731178 )
( 0.140562248996 , 0.000970325272909 )
( 0.144578313253 , 0.000796727745031 )
( 0.14859437751 , 0.000654982795718 )
( 0.152610441767 , 0.00053921745896 )
( 0.156626506024 , 0.000444630018103 )
( 0.160642570281 , 0.00036729996519 )
( 0.164658634538 , 0.000304030008857 )
( 0.168674698795 , 0.000252215185418 )
( 0.172690763052 , 0.00020973476968 )
( 0.176706827309 , 0.000174863272798 )
( 0.180722891566 , 0.000146197348842 )
( 0.184738955823 , 0.000122595907909 )
( 0.18875502008 , 0.000103131152788 )
( 0.192771084337 , 8.70486211023e-05 )
( 0.196787148594 , 7.37346295802e-05 )
( 0.200803212851 , 6.26897863935e-05 )
( 0.204819277108 , 5.35074660632e-05 )
( 0.208835341365 , 4.58563342997e-05 )
( 0.212851405622 , 3.94661718556e-05 )
( 0.21686746988 , 3.41163813935e-05 )
( 0.220883534137 , 2.96266733943e-05 )
( 0.224899598394 , 2.58495197678e-05 )
( 0.228915662651 , 2.26640401354e-05 )
( 0.232931726908 , 1.99710484048e-05 )
( 0.236947791165 , 1.76890385456e-05 )
( 0.240963855422 , 1.57509303428e-05 )
( 0.244979919679 , 1.41014300144e-05 )
( 0.248995983936 , 1.2694888306e-05 )
( 0.253012048193 , 1.14935611766e-05 )
( 0.25702811245 , 1.04661964221e-05 )
( 0.261044176707 , 9.58688434773e-06 )
( 0.265060240964 , 8.83412252895e-06 )
( 0.269076305221 , 8.19005435491e-06 )
( 0.273092369478 , 7.63984883597e-06 )
( 0.277108433735 , 7.17119545796e-06 )
( 0.281124497992 , 6.77389295436e-06 )
( 0.285140562249 , 6.43951498686e-06 )
( 0.289156626506 , 6.1611390625e-06 )
( 0.293172690763 , 5.93312772835e-06 )
( 0.29718875502 , 5.75095329732e-06 )
( 0.301204819277 , 5.61105917501e-06 )
( 0.305220883534 , 5.51075235969e-06 )
