Mean vec: 
( 0.0 , 0.0 )
( 0.7951807228915662 , -0.932662967464239 )
( 0.7991967871485943 , -0.923012405919053 )
( 0.8032128514056224 , -0.913128580838162 )
( 0.8072289156626505 , -0.903017768026217 )
( 0.8112449799196786 , -0.8926862556916717 )
( 0.8152610441767068 , -0.8821403424615823 )
( 0.8192771084337349 , -0.8713863354052194 )
( 0.823293172690763 , -0.8604305480648691 )
( 0.8273092369477911 , -0.8492792984903019 )
( 0.8313253012048192 , -0.8379389072772199 )
( 0.8353413654618473 , -0.8264156956020656 )
( 0.8393574297188754 , -0.8147159832560362 )
( 0.8433734939759036 , -0.80284608667003 )
( 0.8473895582329316 , -0.7908123169339376 )
( 0.8514056224899598 , -0.7786209778005855 )
( 0.8554216867469878 , -0.7662783636768324 )
( 0.859437751004016 , -0.7537907575946576 )
( 0.8634538152610441 , -0.7411644291620121 )
( 0.8674698795180722 , -0.7284056324874655 )
( 0.8714859437751004 , -0.7155206040757491 )
( 0.8755020080321284 , -0.7025155606899034 )
( 0.8795180722891566 , -0.6893966971783527 )
( 0.8835341365461846 , -0.6761701842569323 )
( 0.8875502008032128 , -0.6628421662466621 )
( 0.8915662650602408 , -0.6494187587579461 )
( 0.895582329317269 , -0.6359060463182971 )
( 0.899598393574297 , -0.6223100799351187 )
( 0.9036144578313252 , -0.6086368745878588 )
( 0.9076305220883534 , -0.5948924066423729 )
( 0.9116465863453814 , -0.5810826111777203 )
( 0.9156626506024096 , -0.5672133792166392 )
( 0.9196787148594376 , -0.5532905548509746 )
( 0.9236947791164658 , -0.5393199322467694 )
( 0.9277108433734939 , -0.5253072525200366 )
( 0.931726907630522 , -0.5112582004620947 )
( 0.9357429718875501 , -0.4971784011035254 )
( 0.9397590361445782 , -0.48307341609103105 )
( 0.9437751004016064 , -0.46894873985516483 )
( 0.9477911646586344 , -0.4548097955374715 )
( 0.9518072289156626 , -0.4406619306495827 )
( 0.9558232931726907 , -0.4265104124121706 )
( 0.9598393574297188 , -0.4123604227292219 )
( 0.9638554216867469 , -0.39821705272902364 )
( 0.967871485943775 , -0.3840852967862247 )
( 0.9718875502008031 , -0.3699700459182509 )
( 0.9759036144578312 , -0.35587608039847396 )
( 0.9799196787148593 , -0.34180806138036246 )
( 0.9839357429718875 , -0.3277705212148021 )
( 0.9879518072289156 , -0.3137678519693736 )
( 0.9919678714859437 , -0.2998042913099255 )
( 0.9959839357429718 , -0.28588390408765463 )
( 1.0 , -0.2720105554446661 )


Pos dev: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.04087887223488673 )
( 0.008032128514056224 , 0.08120365314155702 )
( 0.012048192771084336 , 0.12091891910837184 )
( 0.01606425702811245 , 0.15996982330846676 )
( 0.020080321285140562 , 0.1983021138827185 )
( 0.024096385542168672 , 0.23586248461845863 )
( 0.028112449799196783 , 0.27259903099260224 )
( 0.0321285140562249 , 0.3084617820696096 )
( 0.03614457831325301 , 0.34340332519605754 )
( 0.040160642570281124 , 0.3773795772952342 )
( 0.04417670682730923 , 0.4103508317802844 )
( 0.048192771084337345 , 0.4422834895963808 )
( 0.05220883534136546 , 0.47574020546390366 )
( 0.056224899598393566 , 0.5088055443878838 )
( 0.06024096385542168 , 0.541098493803349 )
( 0.0642570281124498 , 0.5725827005354246 )
( 0.0682730923694779 , 0.6032263090034106 )
( 0.07228915662650602 , 0.6330011086529054 )
( 0.07630522088353413 , 0.6618819921545747 )
( 0.08032128514056225 , 0.689846569941076 )
( 0.08433734939759036 , 0.7168748772415882 )
( 0.08835341365461846 , 0.7429491414700913 )
( 0.09236947791164658 , 0.7680535916758707 )
( 0.09638554216867469 , 0.7921742987570434 )
( 0.1004016064257028 , 0.8152990389995713 )
( 0.10441767068273092 , 0.8374171758175442 )
( 0.10843373493975902 , 0.8585195560260874 )
( 0.11244979919678713 , 0.8785984179374005 )
( 0.11646586345381525 , 0.8976473092310181 )
( 0.12048192771084336 , 0.9156610130152832 )
( 0.12449799196787148 , 0.932635480831379 )
( 0.1285140562248996 , 0.9485677716024707 )
( 0.1325301204819277 , 0.963455995719682 )
( 0.1365461847389558 , 0.9772992636015766 )
( 0.14056224899598393 , 0.990097638177169 )
( 0.14457831325301204 , 1.001852090831601 )
( 0.14859437751004015 , 1.0125644604242947 )
( 0.15261044176706826 , 1.0222374150506652 )
( 0.15662650602409636 , 1.0308744162621177 )
( 0.1606425702811245 , 1.0384796854983498 )
( 0.1646586345381526 , 1.0450581725228962 )
( 0.1686746987951807 , 1.0506155256705598 )
( 0.17269076305220882 , 1.0551580637503521 )
( 0.17670682730923692 , 1.0586927494537273 )
( 0.18072289156626503 , 1.061227164147008 )
( 0.18473895582329317 , 1.06276948392939 )
( 0.18875502008032127 , 1.0633284568595338 )
( 0.19277108433734938 , 1.062913381257062 )
( 0.1967871485943775 , 1.0615340849993007 )
( 0.2008032128514056 , 1.0592009057396212 )
( 0.20481927710843373 , 1.0559246719776088 )
( 0.20883534136546184 , 1.0517166849267134 )
( 0.21285140562248994 , 1.0465887011154913 )
( 0.21686746987951805 , 1.0405529156804016 )
( 0.22088353413654616 , 1.033621946298753 )
( 0.22489959839357426 , 1.0258088177198816 )
( 0.2289156626506024 , 1.0171269468565782 )
( 0.2329317269076305 , 1.0075901283993964 )
( 0.2369477911646586 , 0.9972125209223595 )
( 0.24096385542168672 , 0.9860086334448366 )
( 0.24497991967871482 , 0.9739933124243949 )
( 0.24899598393574296 , 0.9611817291510358 )
( 0.25301204819277107 , 0.9475893675200145 )
( 0.2570281124497992 , 0.9332320121559339 )
( 0.2610441767068273 , 0.9181257368695206 )
( 0.2650602409638554 , 0.9022868934209929 )
