Mean vec: 
( 0.0 , 5.684341886080802e-14 )
( 0.9598393574297188 , -0.3836678261529727 )
( 0.9638554216867469 , -0.3724024132931163 )
( 0.967871485943775 , -0.3611498283776342 )
( 0.9718875502008031 , -0.3499137296465875 )
( 0.9759036144578312 , -0.3386976917146711 )
( 0.9799196787148593 , -0.32750519936915623 )
( 0.9839357429718875 , -0.31633964039558293 )
( 0.9879518072289156 , -0.30520429706520247 )
( 0.9919678714859437 , -0.2941023356599288 )
( 0.9959839357429718 , -0.2830367927970059 )
( 1.0 , -0.27201055544468034 )


Pos dev: 
( 0.0 , 5.684341886080802e-14 )
( 0.004016064257028112 , 0.042103756830248126 )
( 0.008032128514056224 , 0.08361285792113285 )
( 0.012048192771084336 , 0.12447037164581923 )
( 0.01606425702811245 , 0.164619081535261 )
( 0.020080321285140562 , 0.20400156155895788 )
( 0.024096385542168672 , 0.2425604583133959 )
( 0.028112449799196783 , 0.2802388115038663 )
( 0.0321285140562249 , 0.31698038365338066 )
( 0.03614457831325301 , 0.3527299934946506 )
( 0.040160642570281124 , 0.38743385403949804 )
( 0.04417670682730923 , 0.4210399188880177 )
( 0.048192771084337345 , 0.45349824191539356 )
( 0.05220883534136546 , 0.484761357115157 )
( 0.056224899598393566 , 0.5147846877144869 )
( 0.06024096385542168 , 0.5435269974165857 )
( 0.0642570281124498 , 0.5709509031210638 )
( 0.0682730923694779 , 0.5970234807393922 )
( 0.07228915662650602 , 0.6217170214292449 )
( 0.07630522088353413 , 0.6450100595544423 )
( 0.08032128514056225 , 0.6668890102280611 )
( 0.08433734939759036 , 0.6889633901169204 )
( 0.08835341365461846 , 0.7105434216918249 )
( 0.09236947791164658 , 0.7306826305871803 )
( 0.09638554216867469 , 0.7493618967896559 )
( 0.1004016064257028 , 0.7665697799982142 )
( 0.10441767068273092 , 0.7823011807028533 )
( 0.10843373493975902 , 0.7965564773470719 )
( 0.11244979919678713 , 0.8093408942689514 )
( 0.11646586345381525 , 0.8206640037331007 )
( 0.12048192771084336 , 0.8305393143664478 )
( 0.12449799196787148 , 0.8389839191460633 )
( 0.1285140562248996 , 0.8460181864012045 )
( 0.1325301204819277 , 0.8516654829486016 )
( 0.1365461847389558 , 0.8559519218264362 )
( 0.14056224899598393 , 0.8589061292108432 )
( 0.14457831325301204 , 0.8605590265152868 )
( 0.14859437751004015 , 0.8609436247104517 )
( 0.15261044176706826 , 0.8600948287260138 )
( 0.15662650602409636 , 0.8580492506345845 )
( 0.1606425702811245 , 0.8548450313359075 )
( 0.1646586345381526 , 0.850521672163308 )
( 0.1686746987951807 , 0.8451198811987157 )
( 0.17269076305220882 , 0.8386814472138503 )
( 0.17670682730923692 , 0.8312491783228373 )
( 0.18072289156626503 , 0.8228670467123796 )
( 0.18473895582329317 , 0.8163175773164245 )
( 0.18875502008032127 , 0.810048683197664 )
( 0.19277108433734938 , 0.803151147602095 )
( 0.1967871485943775 , 0.7956401078529607 )
( 0.2008032128514056 , 0.7875303653209116 )
( 0.20481927710843373 , 0.778836305593517 )
( 0.20883534136546184 , 0.7695719052626065 )
( 0.21285140562248994 , 0.7597507635032301 )
( 0.21686746987951805 , 0.7493861402023202 )
( 0.22088353413654616 , 0.7384909941776675 )
( 0.22489959839357426 , 0.7270780191118328 )
( 0.2289156626506024 , 0.7151596764032999 )
( 0.2329317269076305 , 0.7027482248037563 )
( 0.2369477911646586 , 0.6898557469738306 )
( 0.24096385542168672 , 0.6764941732018974 )
( 0.24497991967871482 , 0.6626753025660505 )
( 0.24899598393574296 , 0.6484108217988427 )
( 0.25301204819277107 , 0.6337123221139795 )
( 0.2570281124497992 , 0.6185913142186271 )
( 0.2610441767068273 , 0.6030592417098433 )
( 0.2650602409638554 , 0.5871274930390424 )
( 0.2690763052208835 , 0.5708074121914065 )
( 0.2730923694779116 , 0.5541103082288679 )
( 0.2771084337349397 , 0.5370474638052773 )
( 0.28112449799196787 , 0.5196301427639108 )
( 0.285140562248996 , 0.5018695969110872 )
( 0.2891566265060241 , 0.48377707204171727 )
( 0.2931726907630522 , 0.46536381329202614 )
( 0.2971887550200803 , 0.44664106987871105 )
( 0.3012048192771084 , 0.4276200992843879 )
( 0.3052208835341365 , 0.4083121709320081 )
( 0.3092369477911646 , 0.3887285693972689 )
( 0.3132530120481927 , 0.36888059719186833 )
( 0.31726907630522083 , 0.3487795771551594 )
( 0.321285140562249 , 0.328436854485755 )
( 0.3253012048192771 , 0.30786379843136813 )
( 0.3293172690763052 , 0.2870718036715925 )
( 0.3333333333333333 , 0.2660722914069079 )
( 0.3373493975903614 , 0.2448767101758797 )
( 0.34136546184738953 , 0.22349653641606584 )
( 0.34538152610441764 , 0.20194327478414867 )
( 0.34939759036144574 , 0.18022845824721717 )
( 0.35341365461847385 , 0.15836364795788838 )
( 0.35742971887550196 , 0.13636043292389635 )
( 0.36144578313253006 , 0.11423042947944885 )
( 0.3654618473895582 , 0.09198528056783845 )
( 0.36947791164658633 , 0.06963665484187925 )
( 0.37349397590361444 , 0.04719624558914008 )
( 0.37751004016064255 , 0.02467576948513936 )
( 0.38152610441767065 , 0.0020869651831613018 )
( 0.38554216867469876 , -0.020558408256722227 )
( 0.38955823293172687 , -0.04324857309753813 )
( 0.393574297188755 , -0.06597173480666658 )
( 0.3975903614457831 , -0.08871608408536119 )
( 0.4016064257028112 , -0.11146979904540011 )
( 0.4056224899598393 , -0.1342210475262728 )
( 0.40963855421686746 , -0.1569579895454986 )
( 0.41365461847389556 , -0.1796687798835147 )
( 0.41767068273092367 , -0.20234157078929926 )
( 0.4216867469879518 , -0.22496451480120305 )
( 0.4257028112449799 , -0.24752576766747814 )
( 0.429718875502008 , -0.27001349135684705 )
( 0.4337349397590361 , -0.2924158571326721 )
( 0.4377510040160642 , -0.31472104866570516 )
( 0.4417670682730923 , -0.3369172651486247 )
( 0.4457831325301204 , -0.35899272435618035 )
( 0.4497991967871485 , -0.38093566559112774 )
( 0.4538152610441767 , -0.4027343524012814 )
( 0.4578313253012048 , -0.42437707494696786 )
( 0.4618473895582329 , -0.44585215180863397 )
( 0.465863453815261 , -0.4671479309434815 )
( 0.4698795180722891 , -0.48825278935718247 )
( 0.4738955823293172 , -0.5091551308048172 )
( 0.47791164658634533 , -0.5298433804161128 )
( 0.48192771084337344 , -0.5503059743634262 )
( 0.48594377510040154 , -0.5705313411104456 )
( 0.48995983935742965 , -0.5905078672522962 )
( 0.4939759036144578 , -0.6102238314718069 )
( 0.4979919678714859 , -0.6296672557979409 )
( 0.502008032128514 , -0.6446554792787098 )
( 0.5060240963855421 , -0.6550885375510613 )
( 0.5100401606425702 , -0.6651082584448214 )
( 0.5140562248995983 , -0.6747177480201925 )
( 0.5180722891566265 , -0.6839200021388118 )
( 0.5220883534136546 , -0.6927180434719981 )
( 0.5261044176706827 , -0.7011149789808463 )
( 0.5301204819277108 , -0.7091140273519477 )
( 0.5341365461847389 , -0.7167185322315796 )
( 0.538152610441767 , -0.7239319679109789 )
( 0.5421686746987951 , -0.730757940697307 )
( 0.5461847389558232 , -0.7372001877091621 )
( 0.5502008032128514 , -0.7432625741037625 )
( 0.5542168674698794 , -0.7489490893314656 )
( 0.5582329317269076 , -0.7542638428071857 )
( 0.5622489959839357 , -0.7592110592430665 )
( 0.5662650602409638 , -0.7637950737995618 )
( 0.570281124497992 , -0.768020327171443 )
( 0.57429718875502 , -0.7718913606750297 )
( 0.5783132530120482 , -0.7754128113917265 )
( 0.5823293172690762 , -0.7785894073958505 )
( 0.5863453815261044 , -0.781425963094592 )
( 0.5903614457831324 , -0.7839273746870927 )
( 0.5943775100401606 , -0.7860986157574479 )
( 0.5983935742971886 , -0.7879447330018438 )
( 0.6024096385542168 , -0.789470842092927 )
( 0.606425702811245 , -0.790682123680531 )
( 0.610441767068273 , -0.7915838195270803 )
( 0.6144578313253012 , -0.7921812287755613 )
( 0.6184738955823292 , -0.7924797043428505 )
( 0.6224899598393574 , -0.7924846494407716 )
( 0.6265060240963854 , -0.7922015142136832 )
( 0.6305220883534136 , -0.7916357924924874 )
( 0.6345381526104417 , -0.7907930186602012 )
( 0.6385542168674698 , -0.7896787646214836 )
( 0.642570281124498 , -0.7882986368760315 )
( 0.646586345381526 , -0.7866582736867432 )
( 0.6506024096385542 , -0.784763342342285 )
( 0.6546184738955823 , -0.7826195365087235 )
( 0.6586345381526104 , -0.7802325736622208 )
( 0.6626506024096385 , -0.7776081926074248 )
( 0.6666666666666666 , -0.7747521510680955 )
( 0.6706827309236947 , -0.7716702233520198 )
( 0.6746987951807228 , -0.7683681980870695 )
( 0.6787148594377509 , -0.7648518760203601 )
( 0.6827309236947791 , -0.7611270678826414 )
( 0.6867469879518072 , -0.7571995923101716 )
( 0.6907630522088353 , -0.7530752738243209 )
( 0.6947791164658634 , -0.7487599408647951 )
( 0.6987951807228915 , -0.7442594238714142 )
( 0.7028112449799196 , -0.739579553417026 )
( 0.7068273092369477 , -0.7347261583822393 )
( 0.7108433734939759 , -0.7297050641748515 )
( 0.7148594377510039 , -0.7245220909892984 )
( 0.7188755020080321 , -0.7191830521021422 )
( 0.7228915662650601 , -0.7136937522051627 )
( 0.7269076305220883 , -0.7080599857696114 )
( 0.7309236947791165 , -0.7022875354416052 )
( 0.7349397590361445 , -0.6963821704672251 )
( 0.7389558232931727 , -0.6903496451425947 )
( 0.7429718875502007 , -0.6841956972884297 )
( 0.7469879518072289 , -0.6779260467484998 )
( 0.7510040160642569 , -0.671546393905969 )
( 0.7550200803212851 , -0.665062418219792 )
