
Samples for s = 0.1:
( 0 , 0.0 )
( 171 , 0.614968112177 )
( 172 , 0.614968112177 )
( 173 , 0.614968112177 )
( 174 , 0.614968112177 )
( 175 , 0.614968112177 )
( 176 , 0.614968112177 )
( 177 , 0.614968112177 )
( 178 , 0.614968112177 )
( 179 , -0.407122037622 )
( 180 , -0.295018804554 )
( 181 , -0.295018804554 )
( 182 , -0.295018804554 )
( 183 , -0.295018804554 )
( 184 , -0.295018804554 )
( 185 , -0.295018804554 )
( 186 , -0.295018804554 )
( 187 , -0.295018804554 )
( 188 , -0.295018804554 )
( 189 , -0.295018804554 )
( 190 , -0.295018804554 )
( 191 , -0.295018804554 )
( 192 , -0.295018804554 )
( 193 , -0.295018804554 )
( 194 , -0.295018804554 )
( 195 , -0.295018804554 )
( 196 , -0.295018804554 )
( 197 , -0.295018804554 )
( 198 , -0.295018804554 )
( 199 , -0.295018804554 )

Samples for x0 = 0.5:
( 0 , 0.5 )
( 1 , 1.24477330269 )
( 2 , 1.36410304235 )
( 3 , 1.83201252372 )
( 4 , 1.88533795551 )
( 5 , 1.88533795551 )
( 6 , 0.918778985887 )
( 7 , 0.779965494334 )
( 8 , 0.562811119954 )
( 9 , 0.562811119954 )
( 10 , 0.860688837658 )
( 11 , 1.18481592542 )
( 12 , 1.39022357885 )
( 13 , 1.87315308448 )
( 14 , 0.877025795618 )
( 15 , 0.910447275001 )
( 16 , 0.910447275001 )
( 17 , -0.110889818568 )
( 18 , -0.706830164983 )
( 19 , -0.827279044822 )
( 20 , -0.827279044822 )
( 21 , -0.827279044822 )
( 22 , -2.19619113608 )
( 23 , -1.61216029595 )
( 24 , -1.61216029595 )
( 25 , -1.52186246455 )
( 26 , -1.33956409904 )
( 27 , -1.50533450892 )
( 28 , -1.00700656379 )
( 29 , -1.00700656379 )
( 30 , 0.311281104113 )
( 31 , -0.0698972078032 )
( 32 , -0.0698972078032 )
( 33 , -0.151122999831 )
( 34 , 0.623105876269 )
( 35 , -0.0824918112581 )
( 36 , -0.0824918112581 )
( 37 , 1.34146804111 )
( 38 , 1.34146804111 )
( 39 , 0.682066041699 )
( 40 , 0.430655765599 )
( 41 , 0.430655765599 )
( 42 , -0.823034888451 )
( 43 , -0.823034888451 )
( 44 , -1.35337879417 )
( 45 , -1.35337879417 )
( 46 , -2.43196556465 )
( 47 , -2.43196556465 )
( 48 , -2.42745874403 )
( 49 , -2.42745874403 )
( 50 , -2.10704744647 )
( 51 , -2.34647274005 )
( 52 , -2.24510872734 )
( 53 , -0.545326960068 )
( 54 , -0.051145255619 )
( 55 , -0.168901585884 )
( 56 , -0.658295068135 )
( 57 , -0.218547446083 )
( 58 , -0.326806001023 )
( 59 , 0.189831305872 )
( 60 , 0.837822536169 )
( 61 , -0.159527394238 )
( 62 , -0.159527394238 )
( 63 , 1.03309626794 )
( 64 , 1.03309626794 )
( 65 , 0.870979547884 )
( 66 , 1.1669073538 )
( 67 , 1.2122207065 )
( 68 , 1.14347617016 )
( 69 , 1.14347617016 )
( 70 , -0.902561965594 )
( 71 , -0.596431426488 )
( 72 , 0.23930188787 )
( 73 , -1.55454784305 )
( 74 , -1.55454784305 )
( 75 , -0.7725788806 )
( 76 , 0.0348478779287 )
( 77 , -0.26008605524 )
( 78 , -0.617092427176 )
( 79 , -0.617092427176 )
( 80 , -0.303907857068 )
( 81 , -0.303907857068 )
( 82 , -0.303907857068 )
( 83 , 0.799322272604 )
( 84 , 0.230387819486 )
( 85 , -0.278226117574 )
( 86 , -0.278226117574 )
( 87 , -0.445185641843 )
( 88 , -0.0818528879512 )
( 89 , -0.0818528879512 )
( 90 , 0.793382140025 )
( 91 , 0.793382140025 )
( 92 , 0.793382140025 )
( 93 , 0.549589479943 )
( 94 , -0.0903217781562 )
( 95 , 0.832522230034 )
( 96 , 1.63206705455 )
( 97 , 0.326265969113 )
( 98 , 0.101813492685 )
( 99 , 0.392230019849 )
( 100 , -0.663628842071 )
( 101 , -0.663628842071 )
( 102 , -0.663628842071 )
( 103 , 0.0468982016658 )
( 104 , 0.589246228307 )
( 105 , -0.229682000335 )
( 106 , -0.296537783181 )
( 107 , -0.402475645941 )
( 108 , -0.402475645941 )
( 109 , -1.70131411827 )
( 110 , -1.70131411827 )
( 111 , -1.70131411827 )
( 112 , -1.86648055946 )
( 113 , -1.86648055946 )
( 114 , -0.325488746855 )
( 115 , -0.70135373679 )
( 116 , -0.0523803914627 )
( 117 , 0.36632231804 )
( 118 , 0.129741135617 )
( 119 , 0.782737282473 )
( 120 , 0.519603186446 )
( 121 , 0.521598091782 )
( 122 , -0.554023410921 )
( 123 , -1.56848502639 )
( 124 , -1.56848502639 )
( 125 , -1.29751254978 )
( 126 , -1.56884710163 )
( 127 , -1.56884710163 )
( 128 , -1.73604121916 )
( 129 , -2.50466128212 )
( 130 , -1.81745455307 )
( 131 , -1.81745455307 )
( 132 , -1.19287769684 )
( 133 , -1.50911910528 )
( 134 , -1.50911910528 )
( 135 , -0.189553001355 )
( 136 , -0.189553001355 )
( 137 , -0.189553001355 )
( 138 , -0.189553001355 )
( 139 , -1.16813431003 )
( 140 , -1.58893769285 )
( 141 , -1.53347484588 )
( 142 , -1.53347484588 )
( 143 , -1.53347484588 )
( 144 , -0.815893164038 )
( 145 , -0.815893164038 )
( 146 , -0.815893164038 )
( 147 , -0.976770218554 )
( 148 , 0.629086858513 )
( 149 , 0.507742835736 )
( 150 , 0.787381389881 )
( 151 , 1.25849095599 )
( 152 , 1.53863434872 )
( 153 , 1.32422897241 )
( 154 , -0.297929253564 )
( 155 , -0.0124440757142 )
( 156 , -0.0124440757142 )
( 157 , -0.473037701731 )
( 158 , -0.630719693657 )
( 159 , 0.586619330415 )
( 160 , 0.743718617796 )
( 161 , 0.743718617796 )
( 162 , 0.335567540845 )
( 163 , 1.05309178217 )
( 164 , 0.453476217468 )
( 165 , -0.272206230952 )
( 166 , -0.871890565374 )
( 167 , -0.735341206828 )
( 168 , -0.916046417749 )
( 169 , 0.0190404954069 )
( 170 , -0.772325348761 )
( 171 , -1.79372432881 )
( 172 , 0.0942903616469 )
( 173 , 0.0942903616469 )
( 174 , -0.306531603694 )
( 175 , 0.135652986848 )
( 176 , 0.135652986848 )
( 177 , -1.61868285818 )
( 178 , -1.61868285818 )
( 179 , -0.952088321433 )
( 180 , -0.38879795007 )
( 181 , -0.38879795007 )
( 182 , -1.27532029003 )
( 183 , -1.33914953474 )
( 184 , -1.09978283323 )
( 185 , -0.997329450573 )
( 186 , 1.02352325695 )
( 187 , 1.01282361584 )
( 188 , 0.734993413663 )
( 189 , 0.734993413663 )
( 190 , 0.734993413663 )
( 191 , 1.09126696711 )
( 192 , 0.153322669933 )
( 193 , -0.716288624913 )
( 194 , -1.12908612286 )
( 195 , -0.407710670289 )
( 196 , -0.291072863493 )
( 197 , 0.62146331105 )
( 198 , -0.834487842714 )
( 199 , -0.834487842714 )

Samples for s = 0.1:
( 0 , 12.0 )
( 1 , 10.9818840563 )
( 2 , 10.9818840563 )
( 3 , 10.6604493011 )
( 4 , 10.6604493011 )
( 5 , 10.6604493011 )
( 6 , 10.6604493011 )
( 7 , 10.6604493011 )
( 8 , 10.6604493011 )
( 9 , 9.00900174858 )
( 10 , 9.00900174858 )
( 11 , 9.00900174858 )
( 12 , 9.00900174858 )
( 13 , 9.00900174858 )
( 14 , 9.00900174858 )
( 15 , 9.00900174858 )
( 16 , 8.50607389751 )
( 17 , 8.50607389751 )
( 18 , 8.62599606017 )
( 19 , 7.16009863631 )
( 20 , 7.16009863631 )
( 21 , 6.87039729078 )
( 22 , 6.87039729078 )
( 23 , 5.71518972909 )
( 24 , 5.71518972909 )
( 25 , 5.71518972909 )
( 26 , 5.67778095482 )
( 27 , 4.71066245426 )
( 28 , 4.71066245426 )
( 29 , 4.71066245426 )
( 30 , 4.22714469916 )
( 31 , 1.71802470461 )
( 32 , 0.716964718834 )
( 33 , -0.457187652329 )
( 34 , -0.457187652329 )
( 35 , 0.00232867892033 )
( 36 , 0.183785984892 )
( 37 , -0.765809985343 )
( 38 , -1.17881197983 )
( 39 , -1.3208798263 )
( 40 , -1.3208798263 )
( 41 , -0.691524811304 )
( 42 , -1.65035408247 )
( 43 , -1.80555313428 )
( 44 , -1.11222192902 )
( 45 , -1.11222192902 )
( 46 , -0.577162599108 )
( 47 , 0.418083152668 )
( 48 , -0.571663555132 )
( 49 , -0.940189646062 )
( 50 , 1.09288004348 )
( 51 , 0.453388154762 )
( 52 , -1.49150224859 )
( 53 , -1.00337398522 )
( 54 , -1.12185585313 )
( 55 , -1.12185585313 )
( 56 , -1.17330272972 )
( 57 , -1.81400807639 )
( 58 , -1.81400807639 )
( 59 , -0.981742286264 )
( 60 , -0.264590811048 )
( 61 , -0.264590811048 )
( 62 , -0.264590811048 )
( 63 , 0.791618309341 )
( 64 , -1.42592934411 )
( 65 , -1.42592934411 )
( 66 , -0.673574455596 )
( 67 , -0.673574455596 )
( 68 , 0.568813557112 )
( 69 , 0.568813557112 )
( 70 , 0.698746772261 )
( 71 , 1.34126760287 )
( 72 , 1.34126760287 )
( 73 , 0.859035416769 )
( 74 , 0.392572945813 )
( 75 , 0.392572945813 )
( 76 , 0.4843565941 )
( 77 , 0.00561310665558 )
( 78 , -0.808759951181 )
( 79 , -0.808759951181 )
( 80 , -0.396782772168 )
( 81 , -0.435602733528 )
( 82 , 0.988225779904 )
( 83 , -0.0100799287042 )
( 84 , 0.362893753009 )
( 85 , 0.362893753009 )
( 86 , 0.0757065961423 )
( 87 , 0.0757065961423 )
( 88 , -1.0591951458 )
( 89 , -0.397872418125 )
( 90 , -0.397872418125 )
( 91 , -0.44650919048 )
( 92 , -0.44650919048 )
( 93 , -0.44650919048 )
( 94 , -0.704387461948 )
( 95 , -0.704387461948 )
( 96 , -0.716746187312 )
( 97 , -0.716746187312 )
( 98 , -0.716746187312 )
( 99 , -0.716746187312 )
( 100 , -1.30510013845 )
( 101 , -1.30510013845 )
( 102 , -1.30510013845 )
( 103 , -0.0730505648113 )
( 104 , -0.185557039626 )
( 105 , 0.609436070411 )
( 106 , 0.481691662761 )
( 107 , 0.481691662761 )
( 108 , 1.42888315531 )
( 109 , 1.45208550356 )
( 110 , 1.94394246237 )
( 111 , -0.0789292968039 )
( 112 , 0.14716533239 )
( 113 , 0.14716533239 )
( 114 , -0.0660971192364 )
( 115 , -0.154659442251 )
( 116 , -0.252502222905 )
( 117 , -0.508271019267 )
( 118 , -0.472143769761 )
( 119 , -0.00676450698293 )
( 120 , 0.302023974972 )
( 121 , 0.629397862491 )
( 122 , 0.153241209368 )
( 123 , -0.942485921833 )
( 124 , -0.942485921833 )
( 125 , -0.942485921833 )
( 126 , -0.562120187173 )
( 127 , -0.146389520411 )
( 128 , -0.146389520411 )
( 129 , -0.02993676344 )
( 130 , 0.632876468247 )
( 131 , -0.0684920121257 )
( 132 , -0.488551353974 )
( 133 , -0.475426591725 )
( 134 , 0.31946572881 )
( 135 , 0.31946572881 )
( 136 , 0.31946572881 )
( 137 , 0.31946572881 )
( 138 , 0.31946572881 )
( 139 , 0.517116431558 )
