VALS	ROWIDX	COLIDX
3.576681183334239067e-02	1.100000000000000000e+01	0.000000000000000000e+00
-7.425887388956863011e-02	7.800000000000000000e+01	0.000000000000000000e+00
-7.425887388951489532e-02	7.900000000000000000e+01	0.000000000000000000e+00
-3.188400869859679965e-01	2.200000000000000000e+01	0.000000000000000000e+00
-3.188400869857035969e-01	2.600000000000000000e+01	0.000000000000000000e+00
9.325994971104727138e-02	1.570000000000000000e+02	0.000000000000000000e+00
9.325994971141987611e-02	1.610000000000000000e+02	0.000000000000000000e+00
-1.262715243288961842e-01	2.700000000000000000e+01	0.000000000000000000e+00
-1.262715243285000843e-01	2.800000000000000000e+01	0.000000000000000000e+00
-3.527552538785786451e-01	1.260000000000000000e+02	0.000000000000000000e+00
-3.527552538786288272e-01	1.270000000000000000e+02	0.000000000000000000e+00
-1.959942921056544857e-02	1.700000000000000000e+02	0.000000000000000000e+00
-1.959942921045104702e-02	1.720000000000000000e+02	0.000000000000000000e+00
-2.780244381398374043e-01	6.800000000000000000e+01	0.000000000000000000e+00
-2.780244381399351594e-01	7.600000000000000000e+01	0.000000000000000000e+00
6.551754929085532586e-01	7.700000000000000000e+01	0.000000000000000000e+00
6.551754929085924495e-01	8.000000000000000000e+01	0.000000000000000000e+00
2.069830785748280333e-01	1.740000000000000000e+02	0.000000000000000000e+00
4.355706507390214033e-01	5.100000000000000000e+01	0.000000000000000000e+00
4.355706507390896265e-01	5.200000000000000000e+01	0.000000000000000000e+00
-1.693811058876903974e+00	2.250000000000000000e+02	0.000000000000000000e+00
-1.232353886114953001e+00	2.260000000000000000e+02	0.000000000000000000e+00
-1.232353886114955221e+00	2.270000000000000000e+02	0.000000000000000000e+00
6.544898605749037301e+01	1.000000000000000000e+00	1.000000000000000000e+00
-3.595271317544356293e+01	6.800000000000000000e+01	1.000000000000000000e+00
-3.595271317544359135e+01	6.900000000000000000e+01	1.000000000000000000e+00
-2.459275496139879635e+01	8.100000000000000000e+01	1.000000000000000000e+00
4.381891463700333667e+00	7.700000000000000000e+01	1.000000000000000000e+00
4.381891463700339884e+00	1.770000000000000000e+02	1.000000000000000000e+00
7.072169784557849503e+00	2.200000000000000000e+01	1.000000000000000000e+00
7.072169784557862826e+00	2.300000000000000000e+01	1.000000000000000000e+00
5.678626102707290180e+00	2.900000000000000000e+01	1.000000000000000000e+00
2.764734945317385506e+00	1.610000000000000000e+02	1.000000000000000000e+00
1.109572528353105714e+00	1.730000000000000000e+02	1.000000000000000000e+00
2.764734945317413040e+00	1.780000000000000000e+02	1.000000000000000000e+00
1.109572528353098608e+00	1.790000000000000000e+02	1.000000000000000000e+00
-5.739533344680127769e-01	2.700000000000000000e+01	1.000000000000000000e+00
-5.739533344680509686e-01	5.300000000000000000e+01	1.000000000000000000e+00
-1.422150996903479125e+00	6.700000000000000000e+01	1.000000000000000000e+00
-1.422150996903467801e+00	7.000000000000000000e+01	1.000000000000000000e+00
-9.605175381000887747e-01	8.200000000000000000e+01	1.000000000000000000e+00
-3.712071687922795515e-01	1.290000000000000000e+02	1.000000000000000000e+00
-2.242631919147436703e-01	1.300000000000000000e+02	1.000000000000000000e+00
-2.242631919147056729e-01	1.590000000000000000e+02	1.000000000000000000e+00
-3.712071687922934293e-01	1.710000000000000000e+02	1.000000000000000000e+00
-1.366748389270462105e-01	1.600000000000000000e+02	1.000000000000000000e+00
3.449256132189570251e-02	1.720000000000000000e+02	1.000000000000000000e+00
3.449256132190160751e-02	1.870000000000000000e+02	1.000000000000000000e+00
-1.366748389270008857e-01	1.880000000000000000e+02	1.000000000000000000e+00
6.562736608528711713e-02	8.000000000000000000e+00	1.000000000000000000e+00
6.562736608528307869e-02	9.000000000000000000e+00	1.000000000000000000e+00
1.466573223831369455e-01	1.200000000000000000e+01	1.000000000000000000e+00
3.326910821000071405e-01	1.220000000000000000e+02	1.000000000000000000e+00
5.850674091013894490e-02	1.280000000000000000e+02	1.000000000000000000e+00
3.326910821000112484e-01	1.310000000000000000e+02	1.000000000000000000e+00
5.850674091013197825e-02	1.340000000000000000e+02	1.000000000000000000e+00
-2.819146973443209959e-03	7.800000000000000000e+01	1.000000000000000000e+00
