Mean vec: 
( 0.0 , 0.0 )
( 0.8875502008032128 , -0.6747361652770394 )
( 0.8915662650602408 , -0.6609165657764038 )
( 0.895582329317269 , -0.6470036768174623 )
( 0.899598393574297 , -0.6330037754737248 )
( 0.9036144578313252 , -0.6189231016795702 )
( 0.9076305220883534 , -0.6047678555380713 )
( 0.9116465863453814 , -0.5905441945374434 )
( 0.9156626506024096 , -0.5762582306699358 )
( 0.9196787148594376 , -0.5619160274391675 )
( 0.9236947791164658 , -0.5475235967440142 )
( 0.9277108433734939 , -0.533086895627946 )
( 0.931726907630522 , -0.5186118228739218 )
( 0.9357429718875501 , -0.5041042154297344 )
( 0.9397590361445782 , -0.48956984463946185 )
( 0.9437751004016064 , -0.47501441225945484 )
( 0.9477911646586344 , -0.46044354622472383 )
( 0.9518072289156626 , -0.44586279613412216 )
( 0.9558232931726907 , -0.4312776284074431 )
( 0.9598393574297188 , -0.4166934210609412 )
( 0.9638554216867469 , -0.40211545803400384 )
( 0.967871485943775 , -0.38754892297873766 )
( 0.9718875502008031 , -0.3729988923965806 )
( 0.9759036144578312 , -0.3584703279659891 )
( 0.9799196787148593 , -0.3439680678398389 )
( 0.9839357429718875 , -0.32949681658752183 )
( 0.9879518072289156 , -0.31506113327080243 )
( 0.9919678714859437 , -0.300665416780447 )
( 0.9959839357429718 , -0.2863138867135433 )
( 1.0 , -0.27201055544468034 )


Pos dev: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.039684629239799735 )
( 0.008032128514056224 , 0.07894475619381182 )
( 0.012048192771084336 , 0.11773787988175191 )
( 0.01606425702811245 , 0.15602150637859072 )
( 0.020080321285140562 , 0.1937530112153341 )
( 0.024096385542168672 , 0.23088972325006832 )
( 0.028112449799196783 , 0.267389062902831 )
( 0.0321285140562249 , 0.3032087003504964 )
( 0.03614457831325301 , 0.33830672366171033 )
( 0.040160642570281124 , 0.3726418142108507 )
( 0.04417670682730923 , 0.4061734297028035 )
( 0.048192771084337345 , 0.438861996755928 )
( 0.05220883534136546 , 0.47066911632145997 )
( 0.056224899598393566 , 0.501557786772226 )
( 0.06024096385542168 , 0.5314926517738764 )
( 0.0642570281124498 , 0.5604402838536342 )
( 0.0682730923694779 , 0.5883695216706303 )
( 0.07228915662650602 , 0.6152518937970334 )
( 0.07630522088353413 , 0.6410621988217713 )
( 0.08032128514056225 , 0.6657794383345037 )
( 0.08433734939759036 , 0.6920014685873355 )
( 0.08835341365461846 , 0.7188198007643241 )
( 0.09236947791164658 , 0.7447616438674783 )
( 0.09638554216867469 , 0.7698002199064445 )
( 0.1004016064257028 , 0.7939124166850718 )
( 0.10441767068273092 , 0.8170780998053415 )
( 0.10843373493975902 , 0.8392796874658687 )
( 0.11244979919678713 , 0.8605018506812665 )
( 0.11646586345381525 , 0.8807312857952855 )
( 0.12048192771084336 , 0.8999565334484962 )
( 0.12449799196787148 , 0.9181678296260218 )
( 0.1285140562248996 , 0.9353569800370665 )
( 0.1325301204819277 , 0.9515172521381657 )
( 0.1365461847389558 , 0.9666432809135952 )
( 0.14056224899598393 , 0.9807309856475345 )
( 0.14457831325301204 , 0.993777495656397 )
( 0.14859437751004015 , 1.0057810834496619 )
( 0.15261044176706826 , 1.016741104135578 )
( 0.15662650602409636 , 1.0266579401422662 )
( 0.1606425702811245 , 1.035532950509363 )
( 0.1646586345381526 , 1.043368424147011 )
( 0.1686746987951807 , 1.0501675365650465 )
( 0.17269076305220882 , 1.0559343096603244 )
( 0.17670682730923692 , 1.0606735742159994 )
( 0.18072289156626503 , 1.06439093481804 )
( 0.18473895582329317 , 1.0670927369396992 )
( 0.18875502008032127 , 1.0687860359766579 )
( 0.19277108433734938 , 1.0694785680470533 )
( 0.1967871485943775 , 1.0691787223921352 )
( 0.2008032128514056 , 1.0678955152356098 )
( 0.20481927710843373 , 1.0656385649739806 )
( 0.20883534136546184 , 1.0624180685882902 )
( 0.21285140562248994 , 1.0582447791749674 )
( 0.21686746987951805 , 1.0531299845098294 )
( 0.22088353413654616 , 1.047085486562056 )
( 0.22489959839357426 , 1.04012358188944 )
( 0.2289156626506024 , 1.0322570428459992 )
( 0.2329317269076305 , 1.023499099546478 )
( 0.2369477911646586 , 1.0138634225313115 )
( 0.24096385542168672 , 1.0033641060828762 )
( 0.24497991967871482 , 0.99201565214914 )
( 0.24899598393574296 , 0.9798329548316732 )
( 0.25301204819277107 , 0.9668312854003568 )
( 0.2570281124497992 , 0.9530262777989916 )
( 0.2610441767068273 , 0.9384339146084353 )
( 0.2650602409638554 , 0.9230705134382048 )
( 0.2690763052208835 , 0.9069527137141902 )
( 0.2730923694779116 , 0.8900974638400253 )
( 0.2771084337349397 , 0.8725220087046326 )
( 0.28112449799196787 , 0.854243877510496 )
( 0.285140562248996 , 0.8352808719044429 )
( 0.2891566265060241 , 0.8156510543853964 )
( 0.2931726907630522 , 0.7953727369721769 )
( 0.2971887550200803 , 0.7744644701092123 )
( 0.3012048192771084 , 0.7529450317945416 )
( 0.3052208835341365 , 0.7308334169103452 )
( 0.3092369477911646 , 0.708148826740009 )
( 0.3132530120481927 , 0.6849106586548477 )
( 0.31726907630522083 , 0.6611384959550897 )
( 0.321285140562249 , 0.6368520978496299 )
( 0.3253012048192771 , 0.6120713895584382 )
( 0.3293172690763052 , 0.5868164525248426 )
( 0.3333333333333333 , 0.5611075147213258 )
( 0.3373493975903614 , 0.53496494103589 )
( 0.34136546184738953 , 0.5084092237238759 )
( 0.34538152610441764 , 0.48146097291216056 )
( 0.34939759036144574 , 0.4541409071410315 )
( 0.35341365461847385 , 0.42646984392965437 )
( 0.35742971887550196 , 0.3984686903527663 )
( 0.36144578313253006 , 0.37015843361129913 )
( 0.3654618473895582 , 0.34156013158564036 )
