Prior density:
( 0.301204819277 , 0.218055578155 )
( 0.305220883534 , 0.260704068313 )
( 0.309236947791 , 0.310163928118 )
( 0.313253012048 , 0.36719924609 )
( 0.317269076305 , 0.432594555388 )
( 0.321285140562 , 0.507140713179 )
( 0.325301204819 , 0.591617584403 )
( 0.329317269076 , 0.686773427805 )
( 0.333333333333 , 0.793300994096 )
( 0.33734939759 , 0.911810485162 )
( 0.341365461847 , 1.04279968891 )
( 0.345381526104 , 1.18662179433 )
( 0.349397590361 , 1.34345160137 )
( 0.353413654618 , 1.51325106384 )
( 0.357429718876 , 1.69573533111 )
( 0.361445783133 , 1.89034067454 )
( 0.36546184739 , 2.09619588294 )
( 0.369477911647 , 2.3120988715 )
( 0.373493975904 , 2.53650035327 )
( 0.377510040161 , 2.76749645258 )
( 0.381526104418 , 3.00283207956 )
( 0.385542168675 , 3.23991671728 )
( 0.389558232932 , 3.47585398821 )
( 0.393574297189 , 3.7074859578 )
( 0.397590361446 , 3.93145260144 )
( 0.401606425703 , 4.14426621643 )
( 0.40562248996 , 4.34239982168 )
( 0.409638554217 , 4.52238778354 )
( 0.413654618474 , 4.68093607305 )
( 0.417670682731 , 4.815038745 )
( 0.421686746988 , 4.92209648147 )
( 0.425702811245 , 5.00003241764 )
( 0.429718875502 , 5.04740001636 )
( 0.433734939759 , 5.06347752824 )
( 0.437751004016 , 5.04834360448 )
( 0.441767068273 , 5.00292894447 )
( 0.44578313253 , 4.92903947087 )
( 0.449799196787 , 4.82934742303 )
( 0.453815261044 , 4.70734792111 )
( 0.457831325301 , 4.56727993813 )
( 0.461847389558 , 4.41401216932 )
( 0.465863453815 , 4.25289594416 )
( 0.469879518072 , 4.08958901279 )
( 0.473895582329 , 3.92985568115 )
( 0.477911646586 , 3.77935029037 )
( 0.481927710843 , 3.64339236249 )
( 0.4859437751 , 3.52674279319 )
( 0.489959839357 , 3.43339119291 )
( 0.493975903614 , 3.36636479417 )
( 0.497991967871 , 3.3275691921 )
( 0.502008032129 , 3.31767051282 )
( 0.506024096386 , 3.33602736761 )
( 0.510040160643 , 3.38067913084 )
( 0.5140562249 , 3.44839468662 )
( 0.518072289157 , 3.53478287917 )
( 0.522088353414 , 3.63446258111 )
( 0.526104417671 , 3.74128672817 )
( 0.530120481928 , 3.84861108101 )
( 0.534136546185 , 3.94959513334 )
( 0.538152610442 , 4.03751978825 )
( 0.542168674699 , 4.10610446622 )
( 0.546184738956 , 4.14980544846 )
( 0.550200803213 , 4.16407768437 )
( 0.55421686747 , 4.14558408165 )
( 0.558232931727 , 4.09233940204 )
( 0.562248995984 , 4.00378011505 )
( 0.566265060241 , 3.88075659598 )
( 0.570281124498 , 3.72544946941 )
( 0.574297188755 , 3.54121721106 )
( 0.578313253012 , 3.33238684102 )
