Matern 0.25:
( 2.1733668341708547 , 4.637433814537714e-06 )
( 2.198492462311558 , 3.9387684459403735e-06 )
( 2.223618090452261 , 3.3449776685253176e-06 )
( 2.248743718592965 , 2.8403842568968398e-06 )
( 2.273869346733669 , 2.4116434174834743e-06 )
( 2.298994974874372 , 2.04739766602494e-06 )
( 2.324120603015075 , 1.737982446988074e-06 )
( 2.349246231155779 , 1.4751750905587134e-06 )
( 2.374371859296483 , 1.25198077358669e-06 )
( 2.399497487437186 , 1.0624500684566405e-06 )
( 2.42462311557789 , 9.015234499184089e-07 )
( 2.449748743718593 , 7.648988030455945e-07 )
( 2.474874371859296 , 6.489185517177873e-07 )
( 2.5 , 5.504735201255525e-07 )

Matern 2:
( -2.5 , 0.363167765385402 )
( -2.4748743718592965 , 0.3686050340478181 )
( -2.449748743718593 , 0.3741057800761698 )
( -2.4246231155778895 , 0.3796701650728433 )
( -2.399497487437186 , 0.38529832703288225 )
( -2.3743718592964824 , 0.3909903792271646 )
( -2.349246231155779 , 0.3967464090478659 )
( -2.3241206030150754 , 0.4025664768150926 )
( -2.298994974874372 , 0.4084506145435365 )
( -2.2738693467336684 , 0.41439882466796446 )
( -2.248743718592965 , 0.4204110787263354 )
( -2.2236180904522613 , 0.42648731599929224 )
( -2.198492462311558 , 0.43262744210474857 )
( -2.1733668341708543 , 0.4388313275462535 )
( -2.148241206030151 , 0.44509880621377823 )
( -2.1231155778894473 , 0.451429673835539 )
( -2.0979899497487438 , 0.45782368637942045 )
( -2.0728643216080402 , 0.46428055840253857 )
( -2.0477386934673367 , 0.4707999613474292 )
( -2.022613065326633 , 0.4773815217833164 )
( -1.9974874371859297 , 0.4840248195908665 )
( -1.9723618090452262 , 0.4907293860887949 )
( -1.9472361809045227 , 0.4974947021006423 )
( -1.9221105527638191 , 0.504320195959999 )
( -1.8969849246231156 , 0.5112052414524013 )
( -1.8718592964824121 , 0.5181491556920793 )
( -1.8467336683417086 , 0.525151196931689 )
( -1.821608040201005 , 0.5322105623031037 )
( -1.7964824120603016 , 0.5393263854872938 )
( -1.771356783919598 , 0.5464977343112686 )
( -1.7462311557788945 , 0.5537236082699969 )
( -1.721105527638191 , 0.5610029359711701 )
( -1.6959798994974875 , 0.5683345725006127 )
( -1.670854271356784 , 0.5757172967060843 )
( -1.6457286432160805 , 0.583149808397157 )
( -1.620603015075377 , 0.5906307254587955 )
( -1.5954773869346734 , 0.598158580876186 )
( -1.57035175879397 , 0.6057318196683241 )
( -1.5452261306532664 , 0.6133487957277688 )
( -1.5201005025125627 , 0.6210077685639318 )
( -1.4949748743718592 , 0.6287068999471771 )
( -1.4698492462311559 , 0.6364442504509541 )
( -1.4447236180904524 , 0.6442177758890901 )
( -1.4195979899497488 , 0.6520253236453103 )
( -1.394472361809045 , 0.6598646288919686 )
( -1.3693467336683416 , 0.6677333106948843 )
( -1.3442211055276383 , 0.6756288680011122 )
( -1.3190954773869348 , 0.683548675506374 )
( -1.2939698492462313 , 0.6914899793987985 )
( -1.2688442211055275 , 0.6994498929755351 )
( -1.2437185929648242 , 0.7074253921286988 )
( -1.2185929648241207 , 0.7154133106970252 )
( -1.193467336683417 , 0.7234103356795063 )
( -1.1683417085427137 , 0.7314130023071898 )
( -1.14321608040201 , 0.7394176889692138 )
( -1.1180904522613064 , 0.7474206119890506 )
( -1.0929648241206031 , 0.7554178202468238 )
( -1.0678391959798994 , 0.7634051896434546 )
( -1.042713567839196 , 0.7713784174022819 )
( -1.0175879396984924 , 0.7793330162036815 )
( -0.9924623115577889 , 0.7872643081480998 )
( -0.9673366834170856 , 0.7951674185427846 )
( -0.9422110552763818 , 0.8030372695073847 )
( -0.9170854271356785 , 0.8108685733934495 )
( -0.8919597989949748 , 0.8186558260127399 )
( -0.8668341708542713 , 0.8263932996691208 )
( -0.841708542713568 , 0.8340750359886733 )
( -0.8165829145728642 , 0.8416948385425163 )
( -0.791457286432161 , 0.8492462652566921 )
( -0.7663316582914572 , 0.8567226206033158 )
( -0.7412060301507537 , 0.8641169475670344 )
( -0.7160804020100504 , 0.8714220193806965 )
( -0.6909547738693467 , 0.8786303310239592 )
( -0.6658291457286434 , 0.8857340904784046 )
( -0.6407035175879396 , 0.8927252097325684 )
( -0.6155778894472361 , 0.899595295530106 )
( -0.5904522613065328 , 0.9063356398541531 )
( -0.5653266331658291 , 0.9129372101407442 )
( -0.5402010050251254 , 0.9193906392139826 )
( -0.5150753768844221 , 0.9256862149354461 )
( -0.4899497487437183 , 0.931813869560136 )
( -0.46482412060301526 , 0.9377631687910589 )
( -0.43969849246231174 , 0.9435233005243385 )
( -0.4145728643216078 , 0.9490830632765369 )
( -0.3894472361809047 , 0.9544308542856497 )
( -0.36432160804020075 , 0.9595546572770187 )
( -0.3391959798994977 , 0.9644420298851792 )
( -0.3140703517587937 , 0.9690800907224215 )
( -0.2889447236180902 , 0.9734555060846128 )
( -0.26381909547738713 , 0.9775544762845781 )
( -0.23869346733668317 , 0.9813627216030855 )
( -0.2135678391959801 , 0.9848654678472267 )
( -0.1884422110552766 , 0.98804743150572 )
( -0.16331658291457263 , 0.9908928044903847 )
( -0.13819095477386956 , 0.993385238452772 )
( -0.1130653266331656 , 0.9955078286646384 )
( -0.08793969849246253 , 0.9972430974506605 )
( -0.06281407035175857 , 0.9985729771615024 )
( -0.03768844221105505 , 0.9994787926750163 )
( -0.01256281407035198 , 0.9999412434130664 )
( 0.012562814070351536 , 0.9999412434130663 )
( 0.03768844221105505 , 0.9994787926750163 )
( 0.06281407035175857 , 0.9985729771615024 )
( 0.08793969849246253 , 0.9972430974506605 )
( 0.11306532663316604 , 0.9955078286646384 )
( 0.1381909547738691 , 0.9933852384527725 )
( 0.16331658291457263 , 0.9908928044903847 )
( 0.1884422110552766 , 0.98804743150572 )
( 0.2135678391959801 , 0.9848654678472267 )
( 0.23869346733668362 , 0.9813627216030855 )
( 0.26381909547738713 , 0.9775544762845781 )
( 0.2889447236180902 , 0.9734555060846128 )
( 0.3140703517587937 , 0.9690800907224215 )
( 0.3391959798994977 , 0.9644420298851792 )
( 0.3643216080402012 , 0.9595546572770189 )
( 0.3894472361809047 , 0.9544308542856497 )
( 0.4145728643216078 , 0.9490830632765369 )
( 0.43969849246231174 , 0.9435233005243385 )
( 0.46482412060301526 , 0.9377631687910589 )
( 0.48994974874371877 , 0.9318138695601358 )
( 0.5150753768844223 , 0.925686214935446 )
( 0.5402010050251254 , 0.9193906392139826 )
( 0.5653266331658289 , 0.9129372101407444 )
( 0.5904522613065328 , 0.9063356398541531 )
( 0.6155778894472363 , 0.8995952955301059 )
( 0.6407035175879399 , 0.8927252097325681 )
( 0.6658291457286429 , 0.8857340904784046 )
( 0.6909547738693469 , 0.8786303310239588 )
( 0.7160804020100504 , 0.8714220193806965 )
( 0.7412060301507539 , 0.8641169475670342 )
( 0.7663316582914574 , 0.8567226206033155 )
( 0.7914572864321605 , 0.8492462652566922 )
( 0.816582914572864 , 0.8416948385425164 )
( 0.841708542713568 , 0.8340750359886733 )
( 0.8668341708542715 , 0.8263932996691208 )
( 0.891959798994975 , 0.8186558260127399 )
( 0.9170854271356781 , 0.8108685733934498 )
( 0.942211055276382 , 0.8030372695073847 )
( 0.9673366834170856 , 0.7951674185427846 )
( 0.9924623115577891 , 0.7872643081480993 )
( 1.0175879396984926 , 0.7793330162036816 )
( 1.0427135678391957 , 0.771378417402282 )
( 1.0678391959798992 , 0.7634051896434548 )
( 1.0929648241206031 , 0.7554178202468238 )
( 1.1180904522613067 , 0.7474206119890506 )
( 1.1432160804020102 , 0.7394176889692134 )
( 1.1683417085427132 , 0.7314130023071898 )
( 1.1934673366834172 , 0.7234103356795062 )
( 1.2185929648241207 , 0.7154133106970252 )
( 1.2437185929648242 , 0.7074253921286988 )
( 1.2688442211055277 , 0.6994498929755347 )
( 1.2939698492462313 , 0.6914899793987985 )
( 1.3190954773869343 , 0.6835486755063742 )
( 1.3442211055276383 , 0.6756288680011122 )
( 1.3693467336683418 , 0.6677333106948843 )
( 1.3944723618090453 , 0.6598646288919685 )
( 1.4195979899497493 , 0.6520253236453103 )
( 1.4447236180904524 , 0.6442177758890901 )
( 1.4698492462311559 , 0.6364442504509541 )
( 1.4949748743718594 , 0.6287068999471771 )
( 1.5201005025125633 , 0.6210077685639315 )
( 1.5452261306532664 , 0.6133487957277688 )
( 1.5703517587939695 , 0.6057318196683242 )
( 1.5954773869346734 , 0.598158580876186 )
( 1.6206030150753765 , 0.5906307254587956 )
( 1.6457286432160805 , 0.583149808397157 )
( 1.6708542713567844 , 0.5757172967060838 )
( 1.6959798994974875 , 0.5683345725006127 )
( 1.7211055276381906 , 0.5610029359711701 )
( 1.7462311557788945 , 0.5537236082699969 )
( 1.7713567839195985 , 0.5464977343112687 )
( 1.7964824120603016 , 0.5393263854872938 )
( 1.8216080402010046 , 0.5322105623031038 )
( 1.8467336683417086 , 0.525151196931689 )
( 1.8718592964824126 , 0.518149155692079 )
( 1.8969849246231156 , 0.5112052414524013 )
( 1.9221105527638196 , 0.504320195959999 )
( 1.9472361809045227 , 0.4974947021006423 )
( 1.9723618090452257 , 0.4907293860887949 )
( 1.9974874371859297 , 0.4840248195908665 )
( 2.0226130653266337 , 0.4773815217833163 )
( 2.0477386934673367 , 0.4707999613474292 )
( 2.07286432160804 , 0.4642805584025386 )
( 2.0979899497487438 , 0.45782368637942045 )
( 2.123115577889447 , 0.45142967383553895 )
( 2.148241206030151 , 0.44509880621377823 )
( 2.1733668341708547 , 0.43883132754625326 )
( 2.198492462311558 , 0.43262744210474857 )
( 2.223618090452261 , 0.4264873159992924 )
