
Matern 0.75:
( -0.5653266331658291 , 0.815733788516495 )
( -0.5402010050251254 , 0.8297676611883701 )
( -0.5150753768844221 , 0.8434744080324995 )
( -0.4899497487437183 , 0.8568203258418142 )
( -0.46482412060301526 , 0.8697714806703193 )
( -0.43969849246231174 , 0.8822938546307014 )
( -0.4145728643216078 , 0.8943535039870876 )
( -0.3894472361809047 , 0.9059167281697118 )
( -0.36432160804020075 , 0.916950249149852 )
( -0.3391959798994977 , 0.9274214004012027 )
( -0.3140703517587937 , 0.9372983244371389 )
( -0.2889447236180902 , 0.946550177651304 )
( -0.26381909547738713 , 0.9551473409020877 )
( -0.23869346733668317 , 0.9630616339702472 )
( -0.2135678391959801 , 0.9702665316855521 )
( -0.1884422110552766 , 0.9767373791658492 )
( -0.16331658291457263 , 0.9824516032459639 )
( -0.13819095477386956 , 0.9873889168022152 )
( -0.1130653266331656 , 0.9915315123128627 )
( -0.08793969849246253 , 0.9948642406523439 )
( -0.06281407035175857 , 0.9973747708223815 )
( -0.03768844221105505 , 0.9990537261117663 )
( -0.01256281407035198 , 0.9998947921037182 )
( 0.012562814070351536 , 0.9998947921037182 )
( 0.03768844221105505 , 0.9990537261117663 )
( 0.06281407035175857 , 0.9973747708223815 )
( 0.08793969849246253 , 0.9948642406523439 )
( 0.11306532663316604 , 0.9915315123128629 )
( 0.1381909547738691 , 0.9873889168022156 )
( 0.16331658291457263 , 0.9824516032459639 )
( 0.1884422110552766 , 0.9767373791658492 )
( 0.2135678391959801 , 0.9702665316855521 )
( 0.23869346733668362 , 0.9630616339702474 )
( 0.26381909547738713 , 0.9551473409020877 )
( 0.2889447236180902 , 0.946550177651304 )
( 0.3140703517587937 , 0.9372983244371389 )
( 0.3391959798994977 , 0.9274214004012027 )
( 0.3643216080402012 , 0.9169502491498521 )
( 0.3894472361809047 , 0.9059167281697118 )
( 0.4145728643216078 , 0.8943535039870876 )
( 0.43969849246231174 , 0.8822938546307014 )
( 0.46482412060301526 , 0.8697714806703193 )
( 0.48994974874371877 , 0.8568203258418143 )
( 0.5150753768844223 , 0.8434744080324992 )
( 0.5402010050251254 , 0.8297676611883701 )
( 0.5653266331658289 , 0.815733788516495 )
( 0.5904522613065328 , 0.8014061271899986 )
( 0.6155778894472363 , 0.7868175246184493 )
( 0.6407035175879399 , 0.7720002262216717 )
( 0.6658291457286429 , 0.756985774538425 )
( 0.6909547738693469 , 0.741804919411574 )
( 0.7160804020100504 , 0.7264875389168098 )
( 0.7412060301507539 , 0.7110625706411611 )
( 0.7663316582914574 , 0.6955579528691511 )
( 0.7914572864321605 , 0.6800005751971167 )
( 0.816582914572864 , 0.6644162380686531 )
( 0.841708542713568 , 0.6488296207053119 )
( 0.8668341708542715 , 0.6332642568953565 )
( 0.891959798994975 , 0.6177425180986728 )
( 0.9170854271356781 , 0.6022856033268826 )
( 0.942211055276382 , 0.5869135352634897 )
( 0.9673366834170856 , 0.5716451620987663 )
( 0.9924623115577891 , 0.5564981645673368 )
( 1.0175879396984926 , 0.5414890676925049 )
( 1.0427135678391957 , 0.526633256759647 )
( 1.0678391959798992 , 0.5119449970610589 )
( 1.0929648241206031 , 0.49743745697603675 )
( 1.1180904522613067 , 0.48312273397228617 )
( 1.1432160804020102 , 0.46901188313770736 )
( 1.1683417085427132 , 0.45511494787487733 )
( 1.1934673366834172 , 0.4414409924138884 )
( 1.2185929648241207 , 0.42799813582244006 )
( 1.2437185929648242 , 0.4147935872149504 )
( 1.2688442211055277 , 0.40183368188491614 )
( 1.2939698492462313 , 0.3891239181065801 )
( 1.3190954773869343 , 0.3766689943731185 )
( 1.3442211055276383 , 0.36447284685892833 )
( 1.3693467336683418 , 0.3525386869131522 )
( 1.3944723618090453 , 0.340869038410205 )
( 1.4195979899497493 , 0.3294657748008369 )
( 1.4447236180904524 , 0.3183301557240356 )
( 1.4698492462311559 , 0.307462863055953 )
( 1.4949748743718594 , 0.2968640362869325 )
( 1.5201005025125633 , 0.28653330713168507 )
( 1.5452261306532664 , 0.276469833290712 )
( 1.5703517587939695 , 0.2666723312931985 )
( 1.5954773869346734 , 0.25713910836286513 )
( 1.6206030150753765 , 0.2478680932586689 )
( 1.6457286432160805 , 0.23885686605180634 )
( 1.6708542713567844 , 0.2301026868092837 )
( 1.6959798994974875 , 0.2216025231623288 )
( 1.7211055276381906 , 0.2133530767452453 )
( 1.7462311557788945 , 0.20535080849693058 )
( 1.7713567839195985 , 0.19759196282327016 )
( 1.7964824120603016 , 0.19007259062397633 )
( 1.8216080402010046 , 0.18278857119225553 )
( 1.8467336683417086 , 0.17573563299993963 )
( 1.8718592964824126 , 0.16890937338447384 )
( 1.8969849246231156 , 0.16230527715744628 )
( 1.9221105527638196 , 0.15591873415719687 )
( 1.9472361809045227 , 0.14974505577049863 )
( 1.9723618090452257 , 0.14377949045037006 )
( 1.9974874371859297 , 0.1380172382588303 )
( 2.0226130653266337 , 0.13245346446481365 )
( 2.0477386934673367 , 0.12708331222859545 )
( 2.07286432160804 , 0.12190191440495575 )
( 2.0979899497487438 , 0.1169044044979283 )
( 2.123115577889447 , 0.11208592680039972 )
( 2.148241206030151 , 0.10744164575203738 )
( 2.1733668341708547 , 0.1029667545490735 )
( 2.198492462311558 , 0.09865648303934732 )
( 2.223618090452261 , 0.09450610493576482 )
( 2.248743718592965 , 0.09051094438094946 )
( 2.273869346733669 , 0.0866663818953767 )
( 2.298994974874372 , 0.08296785974070364 )
( 2.324120603015075 , 0.07941088672934417 )
( 2.349246231155779 , 0.07599104251061257 )
( 2.374371859296483 , 0.07270398136296524 )
( 2.399497487437186 , 0.06954543552103606 )
( 2.42462311557789 , 0.06651121806528214 )
( 2.449748743718593 , 0.0635972254011509 )
( 2.474874371859296 , 0.06079943935374399 )
( 2.5 , 0.05811392890300854 )
